#data downloaded from http://stats.nba.com/leaders/alltime/#!?SeasonType=Regular%20Season&StatCategory=MIN 5/17/15
#TS = true shooting percentage, adjusts for 3PA and FT
Player	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	eFG%	TS%
Nat Clifton	544	30.0	10.0	3.8	10.6	36.1	-	-	-	2.4	3.7	63.3	-	-	8.2	2.5	-	-	-	36.1	40.9
Fred Carter	611	30.0	15.2	6.4	15.1	42.5	-	-	-	2.4	3.4	69.3	1.1	2.7	3.9	3.5	1.2	0.2	-	42.5	45.8
Red Rocha	586	29.9	10.9	3.9	10.5	37.0	-	-	-	3.1	4.1	75.9	-	-	6.6	2.0	-	-	-	37.0	44.1
Mark Price	722	29.9	15.2	5.5	11.6	47.2	1.4	3.4	40.2	3.0	3.3	90.4	0.6	2.0	2.6	6.7	1.2	0.1	2.5	53.0	58.6
Joakim Noah	543	29.9	9.6	3.6	7.4	49.4	0.0	0.0	0.0	2.3	3.2	71.6	3.4	6.1	9.5	2.9	0.9	1.4	1.8	49.4	54.5
Vlade Divac	1,134	29.8	11.8	4.6	9.3	49.5	0.1	0.4	23.5	2.5	3.7	69.2	2.5	5.7	8.2	3.1	1.1	1.4	2.2	50.0	54.3
Carl Braun	788	29.8	13.5	5.0	13.0	38.3	-	-	-	3.6	4.4	80.4	-	-	3.4	3.7	-	-	-	38.3	45.2
Ralph Sampson	456	29.8	15.4	6.4	13.2	48.6	0.0	0.1	17.2	2.6	3.9	66.1	2.6	6.2	8.8	2.3	0.9	1.6	3.0	48.7	51.8
Dick Barnett	971	29.8	15.8	6.2	13.6	45.6	-	-	-	3.4	4.5	76.1	0.2	0.6	2.9	2.8	0.2	0.0	-	45.6	50.8
Ricky Davis	736	29.8	13.5	5.1	11.4	44.6	0.8	2.2	36.1	2.5	3.2	78.1	0.8	2.7	3.5	3.3	1.0	0.3	2.2	48.0	52.5
Mo Williams	777	29.8	13.4	5.0	11.6	43.4	1.4	3.6	37.9	2.0	2.3	87.0	0.5	2.3	2.8	5.0	0.9	0.1	2.3	49.3	53.2
Terrell Brandon	724	29.8	13.8	5.4	12.0	44.8	0.5	1.5	35.5	2.5	2.8	87.3	0.6	2.4	3.0	6.1	1.6	0.3	2.0	47.1	51.9
Gerald Wallace	832	29.7	11.9	4.2	9.0	46.9	0.5	1.6	31.2	3.0	4.2	70.9	1.4	4.4	5.8	2.1	1.4	0.8	1.8	49.6	54.9
Mychal Thompson	935	29.7	13.7	5.6	11.0	50.4	0.0	0.0	8.3	2.6	4.0	65.5	2.4	5.1	7.4	2.3	0.7	1.1	2.3	50.4	53.7
Hot Rod Williams	887	29.7	11.0	4.2	8.7	48.0	0.0	0.0	10.5	2.7	3.7	72.6	2.3	4.4	6.8	1.8	0.8	1.6	1.4	48.0	53.5
Christian Laettner	868	29.7	12.8	4.6	9.7	48.0	0.1	0.4	26.1	3.4	4.2	82.0	1.9	4.8	6.7	2.6	1.1	0.8	2.2	48.6	55.7
Lionel Simmons	454	29.7	12.8	4.9	11.4	43.3	0.1	0.3	30.5	2.9	3.7	77.1	1.8	4.5	6.2	3.3	1.1	0.8	2.2	43.7	49.2
Campy Russell	566	29.6	15.8	6.0	13.1	45.9	0.1	0.2	36.6	3.8	4.9	77.2	1.6	3.2	4.8	3.0	1.0	0.2	3.0	46.2	52.0
Joe Caldwell	468	29.6	15.2	6.3	13.8	45.9	-	-	-	2.6	4.1	63.4	-	-	5.1	2.7	-	-	-	45.9	48.9
Kelly Tripucka	707	29.6	17.2	6.3	13.3	47.3	0.2	0.7	36.1	4.4	5.2	84.9	1.3	2.5	3.8	3.0	1.0	0.2	2.4	48.2	55.2
Gordon Hayward	363	29.6	13.5	4.6	10.4	43.9	1.1	3.0	36.5	3.3	4.0	81.2	0.7	3.0	3.7	3.3	1.0	0.5	2.0	49.2	55.5
Eddie Johnson	675	29.6	15.1	5.9	12.5	47.6	0.2	0.5	32.6	3.0	3.8	79.1	0.7	1.6	2.3	5.1	1.1	0.1	2.5	48.2	53.1
Detlef Schrempf	1,136	29.6	13.9	4.8	9.7	49.1	0.4	1.1	38.4	3.9	4.9	80.3	1.6	4.5	6.2	3.4	0.8	0.3	2.0	51.3	58.6
John Johnson	869	29.6	12.9	5.3	11.8	44.6	0.0	0.0	0.0	2.4	3.0	77.9	1.6	3.3	5.5	3.8	0.8	0.4	2.7	44.6	49.1
Kevin Loughery	755	29.5	15.3	5.9	14.3	41.3	-	-	-	3.5	4.3	80.3	-	-	3.0	3.7	-	-	-	41.3	47.2
John Drew	739	29.5	20.7	7.4	15.8	47.0	0.0	0.1	17.5	5.8	7.8	74.8	2.9	4.0	6.9	1.7	1.4	0.3	2.7	47.1	53.8
Ben Wallace	1,088	29.5	5.7	2.4	5.0	47.4	0.0	0.0	13.7	1.0	2.5	41.4	3.2	6.5	9.6	1.3	1.3	2.0	1.0	47.5	47.4
Marcus Camby	973	29.5	9.5	3.9	8.3	46.6	0.0	0.1	20.5	1.8	2.6	67.0	2.7	7.1	9.8	1.9	1.0	2.4	1.4	46.8	50.3
Kyle Lowry	576	29.4	12.5	4.1	9.7	41.7	1.3	3.7	34.8	3.1	3.9	79.3	0.9	3.1	3.9	5.6	1.3	0.2	2.1	48.3	54.6
Tom Heinsohn	654	29.4	18.6	7.3	18.0	40.5	-	-	-	4.0	5.1	79.0	-	-	8.8	2.0	-	-	-	40.5	46.0
Bob Rule	403	29.4	17.4	6.9	15.0	46.1	-	-	-	3.6	5.3	68.6	1.6	2.2	8.3	1.5	0.4	0.4	-	46.1	50.3
Jason Williams	788	29.4	10.5	3.9	9.8	39.8	1.6	4.8	32.7	1.1	1.4	81.3	0.2	2.1	2.3	5.9	1.2	0.1	2.1	47.9	50.5
Ken Norman	646	29.4	13.5	5.8	11.9	48.6	0.4	1.1	31.2	1.6	2.8	56.7	2.1	4.0	6.1	2.1	0.8	0.7	1.8	50.1	51.4
Billy Owens	600	29.4	11.7	4.8	9.9	48.1	0.1	0.5	29.1	2.0	3.2	62.9	2.4	4.3	6.7	2.8	0.9	0.5	2.2	48.8	51.6
Mike Newlin	837	29.4	14.9	5.6	12.1	46.6	0.1	0.2	30.2	3.6	4.1	87.0	0.8	2.0	3.0	4.0	1.0	0.1	2.5	46.9	53.7
Rex Chapman	666	29.3	14.6	5.6	13.0	43.0	1.2	3.5	35.0	2.2	2.8	80.0	0.6	1.9	2.5	2.7	0.9	0.2	1.5	47.7	51.4
Darren Collison	421	29.3	12.4	4.6	9.9	46.5	0.7	1.9	36.6	2.5	3.0	85.0	0.5	2.2	2.7	5.0	1.1	0.2	2.2	50.1	55.5
Jim Washington	774	29.3	10.6	4.2	9.4	44.9	-	-	-	2.1	3.0	70.5	2.1	5.2	8.6	1.4	0.5	0.6	-	44.9	49.4
Jay Humphries	788	29.3	11.1	4.4	9.3	47.6	0.3	0.9	29.7	2.0	2.5	78.2	0.7	1.9	2.5	5.5	1.5	0.1	1.9	49.1	53.3
Bob Boozer	874	29.2	14.8	5.7	12.3	46.2	-	-	-	3.5	4.6	76.1	-	-	8.1	1.4	-	-	-	46.2	51.9
Derek Anderson	615	29.2	12.0	3.9	9.6	40.8	1.0	3.1	34.1	3.0	3.6	85.3	0.7	2.5	3.2	3.4	1.1	0.1	1.7	46.3	53.4
Larry Foust	817	29.2	13.7	4.7	11.5	40.5	-	-	-	4.4	5.9	74.1	-	-	9.8	1.7	-	-	-	40.5	48.5
Cliff Hagan	745	29.2	18.0	7.0	15.6	45.0	-	-	-	4.0	5.0	79.8	-	-	6.9	3.0	-	-	-	45.0	50.7
Purvis Short	842	29.2	17.3	7.0	14.9	47.4	0.1	0.5	28.2	3.1	3.8	82.4	1.7	2.6	4.3	2.5	1.0	0.2	2.0	47.9	52.5
Phil Smith	659	29.1	15.1	6.1	12.8	47.6	0.0	0.1	25.3	2.9	3.7	77.9	0.9	2.1	3.0	3.9	1.1	0.3	2.4	47.7	52.3
Mehmet Okur	634	29.1	13.5	4.8	10.4	45.8	0.9	2.5	37.5	3.0	3.8	79.7	2.0	5.0	7.0	1.7	0.5	0.7	1.6	50.3	55.8
Derrick McKey	937	29.1	11.0	4.2	8.6	48.6	0.2	0.7	31.6	2.4	3.1	77.9	1.6	3.1	4.7	2.4	1.1	0.7	1.8	49.8	55.1
Charles Smith	564	29.0	14.4	5.3	11.2	47.5	0.0	0.2	19.4	3.7	4.8	77.4	2.1	3.6	5.8	1.4	0.8	1.4	1.8	47.7	54.1
Kevin Porter	659	29.0	11.6	4.8	10.0	48.3	0.0	0.0	18.8	1.9	2.6	73.7	0.6	1.3	1.8	8.1	1.4	0.1	3.5	48.3	51.9
Maurice Lucas	855	29.0	14.4	5.7	12.0	47.3	0.0	0.0	11.1	3.0	4.0	76.3	2.5	6.3	8.8	2.3	0.7	0.6	2.3	47.3	52.3
Gerald Wilkins	900	29.0	13.0	5.3	11.7	45.0	0.5	1.5	31.6	2.0	2.7	74.5	1.1	1.9	2.9	3.0	1.0	0.2	1.9	47.0	50.4
Nene	747	29.0	12.4	4.7	8.7	54.4	0.0	0.0	11.1	3.0	4.5	67.0	1.9	4.7	6.7	2.0	1.2	0.8	2.0	54.4	58.4
Xavier McDaniel	870	29.0	15.6	6.5	13.4	48.5	0.1	0.3	26.1	2.5	3.5	71.8	2.4	3.7	6.1	2.0	0.9	0.5	2.2	48.9	52.2
Jack Marin	849	29.0	14.8	6.0	12.8	46.5	-	-	-	2.8	3.4	84.3	0.9	2.3	5.2	2.1	0.5	0.2	-	46.5	51.6
Rafer Alston	671	28.9	10.1	3.7	9.5	38.3	1.5	4.2	35.4	1.3	1.8	72.9	0.4	2.5	2.8	4.8	1.2	0.2	1.8	46.1	49.0
Jose Calderon	676	28.9	10.2	3.9	8.2	47.5	1.1	2.7	41.2	1.2	1.4	87.5	0.4	2.2	2.5	6.7	0.9	0.1	1.7	54.4	57.5
Antonio Davis	903	28.9	10.0	3.5	7.9	44.8	0.0	0.0	8.7	3.0	4.1	72.7	2.6	4.9	7.5	1.1	0.5	1.0	1.5	44.8	51.8
Dick Garmaker	421	28.9	13.3	4.8	11.9	40.3	-	-	-	3.7	4.7	78.7	-	-	4.2	2.6	-	-	-	40.3	47.5
Austin Carr	682	28.8	15.4	6.4	14.2	44.9	0.0	0.0	15.4	2.6	3.2	80.4	1.3	1.4	2.9	2.8	0.8	0.1	1.6	44.9	49.1
Willie Naulls	716	28.8	15.8	6.3	15.6	40.6	-	-	-	3.1	3.9	81.2	-	-	9.1	1.6	-	-	-	40.6	45.7
Willie Anderson	555	28.8	12.2	5.1	10.7	47.1	0.2	0.7	26.6	1.9	2.4	78.6	1.0	2.8	3.8	3.8	1.1	0.6	2.1	47.9	51.7
Marvin Williams	704	28.8	10.4	3.8	8.4	44.5	0.6	1.9	34.0	2.3	2.8	80.0	1.3	3.8	5.1	1.3	0.8	0.5	1.1	48.2	53.7
Dale Ellis	1,209	28.8	15.7	6.1	12.6	47.9	1.4	3.5	40.3	2.2	2.8	78.4	1.3	2.2	3.5	1.4	0.8	0.2	1.5	53.6	56.7
Mark Eaton	875	28.8	6.0	2.4	5.2	45.8	0.0	0.0	0.0	1.2	1.9	64.9	2.1	5.8	7.9	1.0	0.4	3.5	1.5	45.8	49.6
Tyson Chandler	920	28.8	8.8	3.3	5.6	59.1	0.0	0.0	0.0	2.3	3.5	64.5	3.2	6.1	9.3	0.8	0.6	1.3	1.5	59.1	62.2
Bobby Phills	467	28.7	11.0	4.2	9.5	44.3	0.7	1.9	39.0	1.9	2.6	73.8	0.9	2.3	3.1	2.7	1.3	0.3	1.5	48.2	52.0
Rodney Stuckey	554	28.7	13.3	4.7	11.2	42.5	0.4	1.4	30.5	3.4	4.1	82.7	0.7	2.3	3.0	3.8	0.9	0.2	1.9	44.5	51.4
Lucius Allen	702	28.7	13.4	5.5	11.9	46.3	-	-	-	2.3	3.1	76.0	1.0	2.3	3.1	4.5	1.5	0.3	2.3	46.3	50.4
Paul Millsap	687	28.7	13.5	5.2	10.3	50.3	0.3	0.8	34.0	2.9	3.9	72.8	2.3	4.9	7.3	2.0	1.3	1.0	1.7	51.6	56.1
Evan Turner	388	28.7	10.8	4.3	10.2	42.7	0.4	1.4	31.5	1.7	2.2	76.7	0.6	4.6	5.2	3.6	0.8	0.2	2.0	44.8	48.5
Terry Cummings	1,183	28.7	16.4	6.8	14.1	48.4	0.0	0.1	29.5	2.8	4.0	70.6	2.7	4.6	7.3	1.9	1.1	0.5	1.9	48.5	52.0
Jameer Nelson	714	28.6	12.2	4.6	10.6	44.0	1.3	3.6	37.1	1.6	1.9	81.3	0.5	2.5	3.1	5.3	0.9	0.1	2.2	50.4	53.5
Scott Wedman	906	28.6	13.2	5.7	11.8	48.1	0.1	0.3	33.5	1.7	2.1	79.4	1.7	3.1	4.8	2.0	0.9	0.3	1.3	48.5	51.5
Muggsy Bogues	889	28.6	7.7	3.2	7.0	45.8	0.1	0.4	27.8	1.2	1.4	82.7	0.6	2.0	2.6	7.6	1.5	0.0	1.6	46.7	50.6
A.C. Green	1,278	28.6	9.6	3.6	7.2	49.4	0.1	0.4	25.4	2.4	3.3	73.4	2.6	4.8	7.4	1.1	0.8	0.4	1.1	50.1	55.7
Mike Dunleavy	902	28.6	11.7	4.2	9.4	44.2	1.3	3.6	37.6	2.0	2.5	80.4	0.7	3.7	4.4	2.3	0.8	0.3	1.5	51.3	55.5
Dennis Scott	629	28.6	12.9	4.7	11.3	41.7	1.9	4.9	39.7	1.5	1.9	79.3	0.6	2.2	2.8	2.1	0.8	0.3	1.2	50.2	53.0
Al Harrington	981	28.6	13.5	5.1	11.5	44.4	1.0	2.8	35.2	2.2	3.1	72.7	1.5	4.1	5.6	1.7	0.9	0.3	1.9	48.7	52.3
Bill Cartwright	963	28.5	13.2	4.8	9.2	52.5	0.0	0.0	0.0	3.5	4.6	77.1	1.9	4.5	6.3	1.4	0.5	0.7	2.0	52.5	58.8
Boris Diaw	915	28.5	9.1	3.8	7.7	49.4	0.5	1.4	34.0	1.1	1.5	71.5	1.3	3.4	4.6	3.6	0.7	0.5	1.9	52.4	54.7
Ron Boone	379	28.5	13.9	5.6	12.4	45.4	0.1	0.2	33.7	2.6	3.0	85.4	1.0	1.8	2.8	3.4	1.1	0.1	2.6	45.7	50.7
Cedric Maxwell	835	28.5	12.5	4.1	7.5	54.6	0.0	0.0	5.3	4.3	5.5	78.4	2.5	3.8	6.3	2.2	0.8	0.5	2.2	54.6	62.9
Sam Perkins	1,286	28.5	11.9	4.3	9.3	45.9	0.7	1.8	36.2	2.7	3.3	81.1	1.8	4.2	6.0	1.5	0.9	0.7	1.2	49.4	55.2
Curtis Perry	480	28.4	9.5	4.0	8.7	45.5	-	-	-	1.6	2.3	69.9	3.2	6.1	8.8	1.9	1.2	0.9	1.4	45.5	49.0
Armen Gilliam	929	28.4	13.7	5.2	10.7	48.9	0.0	0.0	0.0	3.3	4.2	77.6	2.3	4.6	6.9	1.2	0.7	0.7	1.9	48.9	54.7
Vernon Maxwell	855	28.4	12.8	4.6	11.6	39.8	1.5	4.6	32.0	2.1	2.9	73.3	0.4	2.1	2.6	3.4	1.1	0.2	1.9	46.2	49.8
Grant Long	1,003	28.4	9.5	3.5	7.4	46.7	0.1	0.3	28.3	2.5	3.3	76.1	2.2	4.0	6.1	1.7	1.2	0.4	1.6	47.2	53.6
Wayman Tisdale	840	28.4	15.3	6.4	12.6	50.5	0.0	0.0	0.0	2.6	3.4	76.0	1.9	4.2	6.1	1.3	0.6	0.6	1.7	50.5	54.3
David Greenwood	823	28.4	10.2	4.0	8.3	47.7	0.0	0.0	13.8	2.3	3.1	76.5	2.3	5.6	7.9	2.0	0.7	0.9	1.8	47.8	53.2
Robert Parish	1,611	28.4	14.5	6.0	11.1	53.7	0.0	0.0	0.0	2.5	3.5	72.1	2.9	6.3	9.1	1.4	0.8	1.5	2.1	53.7	57.1
Swen Nater	489	28.4	12.2	5.0	9.3	53.7	0.0	0.0	25.0	2.2	2.9	76.0	3.1	7.7	10.8	2.0	0.5	0.5	2.4	53.7	57.7
Dick McGuire	738	28.3	8.0	2.8	7.1	38.9	-	-	-	2.5	3.8	64.4	-	-	4.2	5.7	-	-	-	38.9	45.5
Brian Grant	756	28.3	10.5	4.1	8.4	49.0	0.0	0.0	21.4	2.3	3.1	74.6	2.4	5.0	7.4	1.2	0.6	0.7	1.6	49.1	54.0
Bill Walton	468	28.3	13.3	5.5	10.5	52.1	0.0	0.0	0.0	2.4	3.6	66.0	2.4	8.2	10.5	3.4	0.8	2.2	2.7	52.1	55.1
Max Zaslofsky	540	28.3	14.8	5.3	15.4	34.3	-	-	-	4.2	5.5	76.9	-	-	2.8	2.0	-	-	-	34.3	41.5
Mike Miller	965	28.3	11.3	4.1	9.0	46.0	1.6	4.0	40.7	1.4	1.8	76.9	0.6	3.8	4.4	2.7	0.6	0.2	1.6	55.0	57.7
Wesley Person	733	28.3	11.2	4.3	9.3	45.7	1.6	3.8	41.8	1.1	1.4	77.8	0.6	2.7	3.3	1.7	0.8	0.3	0.9	54.1	56.2
Brad Miller	868	28.3	11.2	4.0	8.3	48.0	0.2	0.7	33.0	3.0	3.8	80.4	2.0	5.2	7.1	2.8	0.7	0.7	1.6	49.4	56.4
Johnny Davis	750	28.3	12.9	4.9	11.0	44.8	0.0	0.2	17.6	3.0	3.7	82.1	0.7	1.3	2.0	4.5	0.9	0.2	2.1	45.0	51.2
Arnie Risen	637	28.3	12.0	4.1	10.8	38.1	-	-	-	3.8	5.4	69.9	-	-	9.7	1.7	-	-	-	38.1	45.6
Orlando Woolridge	851	28.3	16.0	6.1	11.8	51.3	0.0	0.1	9.1	3.9	5.3	73.7	1.6	2.7	4.3	1.9	0.6	0.7	2.1	51.3	56.7
Serge Ibaka	446	28.2	11.4	4.8	9.0	53.3	0.3	0.7	37.2	1.5	2.0	74.4	2.5	5.0	7.5	0.5	0.4	2.6	1.3	54.8	57.5
Corey Maggette	827	28.2	16.0	4.9	10.8	45.3	0.6	1.7	32.4	5.6	6.8	82.2	1.1	3.8	4.9	2.1	0.7	0.2	2.3	47.9	57.7
LaPhonso Ellis	624	28.2	11.9	4.6	10.3	45.2	0.4	1.3	30.2	2.2	3.0	73.0	2.1	4.3	6.5	1.6	0.7	0.8	1.6	47.1	51.2
Ken Sears	529	28.2	13.9	4.7	10.2	45.5	-	-	-	4.6	5.6	82.6	-	-	7.8	1.6	-	-	-	45.5	54.8
Ray Williams	655	28.2	15.5	6.0	13.4	45.1	0.1	0.6	23.7	3.3	4.1	80.2	1.2	2.4	3.6	5.8	1.8	0.3	3.2	45.6	50.9
Byron Scott	1,073	28.1	14.1	5.5	11.4	48.2	0.7	2.0	37.0	2.3	2.8	83.3	0.6	2.2	2.8	2.5	1.1	0.3	1.5	51.4	55.6
Arron Afflalo	577	28.1	11.4	4.1	9.1	45.3	1.2	3.0	38.5	2.0	2.5	81.9	0.5	2.5	3.0	2.0	0.5	0.2	1.2	51.7	56.1
Raja Bell	706	28.1	9.9	3.7	8.4	43.4	1.4	3.3	40.6	1.2	1.6	79.9	0.6	2.2	2.8	1.7	0.7	0.2	1.0	51.4	54.4
Bryant Stith	586	28.0	10.1	3.4	8.1	42.4	0.5	1.6	32.9	2.7	3.2	84.1	1.0	2.4	3.4	2.0	1.0	0.2	1.3	45.6	53.1
Phil Ford	482	28.0	11.6	4.4	9.5	46.7	0.1	0.2	21.0	2.7	3.3	82.0	0.3	1.4	1.8	6.4	1.2	0.1	2.8	46.9	53.1
Ricky Sobers	821	28.0	13.3	5.2	11.3	45.9	0.2	0.5	29.1	2.8	3.3	84.3	0.8	1.8	2.6	4.3	1.3	0.2	3.0	46.6	52.2
Scott Skiles	600	28.0	11.1	3.8	8.8	43.5	0.9	2.3	37.9	2.6	2.9	88.9	0.5	2.1	2.5	6.5	0.8	0.0	2.5	48.5	55.2
Darrell Griffith	765	28.0	16.2	6.8	14.8	46.3	0.7	2.1	33.2	1.8	2.6	70.7	1.0	2.3	3.3	2.1	1.2	0.3	2.1	48.7	50.9
Tyrone Hill	801	28.0	9.4	3.5	7.0	50.2	0.0	0.0	0.0	2.3	3.6	64.3	3.0	5.6	8.6	0.8	0.8	0.5	1.6	50.2	54.4
Mike Bantom	706	27.9	12.1	4.9	10.4	46.8	0.0	0.0	20.0	2.4	3.4	69.2	2.3	4.1	6.4	2.3	0.9	0.7	2.4	46.8	50.8
Walter Davis	1,033	27.9	18.9	7.9	15.4	51.1	0.2	0.6	27.2	3.0	3.6	85.1	0.9	2.1	3.0	3.8	1.2	0.1	2.5	51.6	55.8
Gene Banks	468	27.9	11.3	4.6	8.5	53.9	0.0	0.1	4.3	2.2	3.0	73.0	2.2	3.7	5.8	2.9	0.9	0.2	1.8	53.9	57.9
Jarrett Jack	771	27.9	11.0	3.9	8.9	44.3	0.7	2.1	34.8	2.4	2.8	85.4	0.3	2.5	2.8	4.4	0.8	0.1	2.0	48.4	54.2
George Hill	476	27.9	11.2	3.9	8.7	45.1	1.1	3.0	37.0	2.2	2.7	80.6	0.5	2.5	3.1	3.2	0.9	0.3	1.3	51.5	56.3
Stu Lantz	547	27.9	12.4	4.5	10.4	43.5	-	-	-	3.4	4.1	81.4	0.8	1.4	3.3	2.9	0.7	0.1	-	43.5	50.8
Paul Silas	1,254	27.9	9.4	3.4	7.9	43.2	0.0	0.0	0.0	2.5	3.8	67.3	3.6	5.6	9.9	2.1	0.6	0.2	1.4	43.1	48.9
Sam Jones	871	27.9	17.7	7.2	15.8	45.6	-	-	-	3.3	4.1	80.3	-	-	4.9	2.5	-	-	-	45.6	50.3
Trevor Ariza	714	27.9	10.1	3.7	8.5	42.9	1.1	3.1	34.8	1.7	2.3	70.9	1.1	3.6	4.8	2.1	1.4	0.3	1.5	49.2	52.6
Shawn Kemp	1,051	27.9	14.6	5.2	10.7	48.8	0.0	0.1	27.7	4.1	5.5	74.1	2.9	5.5	8.4	1.6	1.1	1.2	2.6	49.0	55.5
Mario Chalmers	519	27.8	8.9	3.1	7.2	42.2	1.3	3.5	36.2	1.5	1.9	77.5	0.3	2.1	2.4	3.8	1.5	0.1	1.9	51.0	54.9
Anthony Parker	494	27.8	9.1	3.4	7.6	44.4	1.2	3.0	40.4	1.1	1.4	79.4	0.5	2.7	3.2	2.3	0.9	0.2	1.0	52.3	55.2
Bob Wilkerson	536	27.8	10.1	4.2	9.9	42.5	0.0	0.1	16.7	1.7	2.2	75.1	1.1	3.1	4.2	3.4	1.3	0.3	2.5	42.6	46.4
Chris Ford	794	27.8	9.2	4.0	8.7	46.0	0.2	0.4	37.5	1.1	1.5	73.1	1.1	1.8	3.0	3.4	1.6	0.3	1.8	46.9	49.4
Terry Porter	1,274	27.8	12.2	4.3	9.2	46.3	1.0	2.6	38.6	2.7	3.2	83.6	0.6	2.5	3.0	5.6	1.2	0.1	2.1	51.8	57.6
Dee Brown	608	27.7	11.1	4.2	9.6	43.6	1.0	2.8	35.7	1.8	2.1	82.5	0.5	2.1	2.6	3.7	1.3	0.3	1.5	48.8	52.8
T.J. Ford	429	27.7	11.2	4.3	9.8	43.3	0.3	1.0	28.9	2.4	2.9	81.5	0.7	2.4	3.1	5.8	1.2	0.1	2.4	44.8	50.3
Vern Fleming	893	27.7	11.3	4.4	8.9	49.8	0.0	0.2	18.1	2.4	3.2	76.4	1.1	2.3	3.4	4.8	1.0	0.1	2.0	50.1	55.0
Woody Sauldsberry	462	27.7	10.7	4.7	13.6	34.8	-	-	-	1.2	2.0	61.0	-	-	7.8	1.1	-	-	-	34.8	36.9
Mickey Johnson	904	27.7	14.1	5.2	11.7	44.9	0.0	0.2	16.5	3.6	4.5	80.0	2.4	4.7	7.2	3.0	1.1	0.7	2.9	45.0	51.7
Jeff McInnis	576	27.7	9.4	3.8	8.8	43.1	0.5	1.6	32.8	1.2	1.6	79.6	0.4	1.6	2.0	4.4	0.6	0.1	1.4	46.1	49.3
Ryan Gomes	487	27.6	10.1	3.9	8.7	44.5	0.7	2.0	34.9	1.7	2.1	79.9	1.3	3.3	4.6	1.5	0.7	0.2	1.1	48.4	52.5
Sherman Douglas	765	27.6	11.0	4.4	9.0	48.4	0.2	0.8	26.7	2.1	3.1	67.8	0.7	1.5	2.2	5.9	1.0	0.1	2.3	49.5	53.2
Antonio McDyess	1,015	27.6	12.0	5.0	10.0	49.7	0.0	0.1	11.7	2.1	3.1	67.0	2.4	5.1	7.5	1.3	0.8	1.1	1.6	49.7	52.9
Sam Bowie	511	27.6	10.9	4.2	9.2	45.2	0.1	0.2	30.2	2.5	3.3	74.8	2.3	5.2	7.5	2.1	0.5	1.8	1.9	45.6	51.0
Sleepy Floyd	957	27.6	12.8	4.6	10.5	44.4	0.5	1.7	32.4	3.0	3.6	81.5	0.7	2.0	2.6	5.4	1.2	0.2	2.4	47.0	53.1
Bruce Bowen	873	27.6	6.1	2.2	5.5	40.9	0.9	2.4	39.3	0.7	1.2	57.5	0.5	2.2	2.8	1.2	0.8	0.4	0.7	49.4	50.8
John Lucas	928	27.5	10.7	4.2	9.4	44.9	0.3	0.9	30.3	2.0	2.6	77.6	0.5	1.8	2.3	7.0	1.4	0.1	2.1	46.3	50.9
Lonnie Shelton	673	27.5	12.0	5.1	10.3	49.2	0.0	0.0	9.7	1.8	2.4	73.8	2.1	4.0	6.1	2.2	1.1	0.8	2.2	49.2	52.4
Alvan Adams	988	27.5	14.1	5.8	11.6	49.8	0.0	0.0	13.3	2.5	3.2	78.8	2.0	5.0	7.0	4.1	1.3	0.8	2.6	49.8	54.1
Greg Ballard	802	27.5	12.4	5.3	11.1	47.2	0.1	0.3	33.8	1.8	2.3	78.7	1.8	4.3	6.1	2.2	1.1	0.3	1.3	47.7	51.1
Gerald Henderson	391	27.5	12.0	4.6	10.3	44.3	0.4	1.2	30.9	2.5	3.2	79.4	0.6	2.7	3.4	2.1	0.7	0.4	1.3	46.0	51.3
Johnny Dawkins	541	27.5	11.1	4.4	9.6	45.6	0.3	1.0	33.0	2.0	2.3	85.7	0.6	1.9	2.5	5.5	1.1	0.1	2.0	47.4	52.2
Billy Knight	671	27.4	15.7	6.1	12.0	50.6	0.1	0.2	27.4	3.6	4.3	83.0	1.7	2.8	4.5	2.1	0.9	0.1	2.1	50.8	56.8
Lionel Hollins	673	27.4	11.6	4.8	10.7	44.4	0.0	0.1	14.9	2.1	2.8	74.1	0.6	1.8	2.4	4.5	1.6	0.3	2.6	44.5	48.6
Alvin Williams	460	27.4	9.0	3.6	8.6	42.1	0.5	1.4	31.3	1.4	1.8	76.0	0.5	1.9	2.5	4.1	1.2	0.2	1.4	44.8	48.3
Delonte West	432	27.4	9.7	3.7	8.3	44.8	0.9	2.3	37.2	1.4	1.7	82.6	0.5	2.4	2.9	3.6	1.1	0.4	1.6	50.1	53.8
Danny Manning	883	27.4	14.0	5.7	11.1	51.1	0.0	0.2	20.6	2.6	3.5	72.9	1.7	3.5	5.2	2.3	1.1	0.9	2.1	51.3	55.2
James Donaldson	957	27.4	8.6	3.2	5.7	57.1	0.0	0.0	0.0	2.1	2.8	73.2	2.2	5.7	7.8	0.8	0.4	1.3	1.5	57.1	61.8
Kenny Thomas	632	27.4	9.3	3.7	7.9	46.5	0.1	0.4	24.4	1.9	2.7	69.9	2.3	4.6	6.9	1.5	0.8	0.4	1.7	47.1	51.4
Ben Gordon	744	27.4	14.9	5.3	12.2	43.2	1.6	3.9	40.1	2.8	3.2	85.7	0.4	2.0	2.5	2.5	0.7	0.2	2.1	49.7	54.6
Terry Dischinger	652	27.4	13.8	5.3	10.5	50.6	-	-	-	3.2	4.2	75.8	-	-	5.6	1.8	-	-	-	50.6	55.9
